Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,surge,heave,pitch
0.896046,0.027768,0.022729,0.027085,0.020518,0.019543,0.018833,0.01879,0.029745,0.024492,0.015644,0.01913,0.021455,0.029228,0.018903,0.019949,0.000382,0.000362,0.74219927
0.904072,0.02919,0.024173,0.027898,0.021985,0.021002,0.020218,0.02014,0.030931,0.025941,0.015892,0.02055,0.022906,0.030573,0.020279,0.021421,0.000308,0.000355,0.73999389
0.912027,0.030482,0.025347,0.0287,0.023065,0.022021,0.021264,0.021268,0.03207,0.027172,0.016139,0.021559,0.024029,0.031833,0.021377,0.022469,0.000229,0.000359,0.74478292
0.920037,0.031839,0.026762,0.029395,0.02436,0.023268,0.022524,0.022535,0.033142,0.028605,0.016311,0.022804,0.025388,0.033084,0.022654,0.02373,0.000213,0.000341,0.73800842
0.928072,0.033356,0.028293,0.030129,0.02585,0.024734,0.023935,0.023908,0.034314,0.030162,0.016479,0.024242,0.026897,0.034475,0.024054,0.025208,0.000267,0.000346,0.74214301
0.936056,0.034723,0.029769,0.030801,0.02738,0.026256,0.025387,0.02527,0.035396,0.031611,0.016615,0.025734,0.028405,0.035742,0.02547,0.02674,0.000311,0.00037,0.75454745
0.944028,0.035898,0.031054,0.031329,0.028599,0.027421,0.026534,0.026417,0.036286,0.03289,0.016683,0.026883,0.029661,0.036808,0.026618,0.027929,0.000277,0.000357,0.7484812
0.95203,0.037096,0.032134,0.031826,0.029535,0.028318,0.027486,0.027434,0.03719,0.034054,0.016713,0.027787,0.030658,0.037911,0.027614,0.028838,0.000177,0.000364,0.75234901
0.960048,0.038346,0.033454,0.032326,0.030829,0.029576,0.028701,0.028631,0.038105,0.035372,0.016737,0.029018,0.031969,0.039039,0.028823,0.030114,0.000126,0.00035,0.7443403
0.96802,0.039579,0.03484,0.0328,0.032195,0.030902,0.029956,0.029829,0.038994,0.036732,0.016737,0.03031,0.033352,0.040137,0.030041,0.031461,0.000175,0.000359,0.74814453
0.976005,0.0407,0.03613,0.033086,0.033496,0.03219,0.031217,0.03101,0.039703,0.038001,0.016636,0.031583,0.03465,0.041092,0.031268,0.032758,0.000244,0.000379,0.75587175
0.984015,0.041745,0.037226,0.033363,0.034508,0.033148,0.032175,0.031997,0.040388,0.039118,0.016533,0.032525,0.035704,0.042003,0.032241,0.03374,0.000236,0.00037,0.74806765
